,Names,Comments,Dates,IDFather,IDChild,Likes
578,collinthewhite,i make those,102 sem,-1,-1,1 Me gusta
579,kimdehondt,@staesdave 😂😂😂,102 sem,-1,-1,Responder
580,brian.on.tour,@florischerer Du willst ja nicht,102 sem,-1,-1,1 Me gusta
581,a.mia,🔥🔥🔥,102 sem,-1,-1,Responder
582,sagar_01.01,@royalnavghan,102 sem,-1,-1,Responder
583,lifebymary_,Hahahha @leoniestegink 🏎💨,102 sem,-1,-1,Responder
584,afcaian,@josetje1990,102 sem,-1,-1,Responder
585,josetje1990,@afcaian owow! Dat gaat mijn maag niet leuk vinden 😂😂,102 sem,584,0,Responder
586,cornisc,@neilferrier320 👍🏼👌🏼,102 sem,-1,-1,Responder
587,fabian_egl,@hagemannlukas @julian_herz98 😂,102 sem,-1,-1,1 Me gusta
588,fade3ct,@barszczakkk,102 sem,-1,-1,1 Me gusta
589,jonreistad,@theresedyvesether deg mot meg,102 sem,-1,-1,1 Me gusta
590,theresedyvesether,@jonreistad 😂😂,102 sem,589,0,Responder
591,jrierab,Wtf @mikepfau @andreea_emilia love it 😂,102 sem,-1,-1,2 Me gusta
592,andreea_emilia,"@jrierab I know, right? One day you wake up and we are on Tesla’s IG.😂❤",102 sem,591,0,1 Me gusta
593,benjamintombre,@desireetombre,102 sem,-1,-1,1 Me gusta
594,russelgodinho,@radhika.godinho 😂😂😂,102 sem,-1,-1,Responder
595,itzskovzki,@africaslizzy 😋😋,102 sem,-1,-1,Responder
596,jakezerebny,@hannahquaymarkovich 😘,102 sem,-1,-1,1 Me gusta
597,sherif_zahran_,@la_seule_narnar,102 sem,-1,-1,Responder
598,joe_gasser,@bernadette.berger 💕,102 sem,-1,-1,1 Me gusta
599,bernadette.berger,@joe_gasser und IMMER fliag mei sonnenbrille owa 🙄🙄🙄,102 sem,598,0,Responder
600,isabellborge,I love doing that to my passengers!! 😉😂🙌🏼,102 sem,-1,-1,2 Me gusta
601,carswithoutgas,@isabellborge 😂 Never gets old,102 sem,600,0,Responder
602,mohamed_serageldien,👍🏽,102 sem,-1,-1,1 Me gusta
603,bakhmarov,"Вот что за язык такой, чтобы не говорила, а всё равно как-будто ща порно начнётся))",102 sem,-1,-1,Responder
604,soldehawaii,"I had and drove this car for 2 years, best car I’ve ever had. Her reaction is a bit ridiculous though, but driving it is a pleasure.",102 sem,-1,-1,Responder
605,soldehawaii,"I had and drove this car for 2 years, best car I’ve ever had. Her reaction is a bit ridiculous though, but driving it is a pleasure.",102 sem,-1,-1,1 Me gusta
606,soldehawaii,"I had and drove this car for 2 years, best car I’ve ever had. Her reaction is a bit ridiculous though, but driving it is a pleasure.",102 sem,-1,-1,1 Me gusta
607,jurikaunisto,@paivihakala 😘,102 sem,-1,-1,Responder
608,paivihakala,@jurikaunisto 🏎🏎,102 sem,607,0,Responder
